Account,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,Personal_Assets__c,Annual_Income__c
Account.001,United Partners,Customer,1 Market St.,San Francisco,California,94105,United States,1 Market St.,San Francisco,California,94105,United States,(673) 555-0153,(673) 555-0182,A613U823,https://www.facebook.com/sfdcUnitedPartners,"35,786,279",Technology,87000000,1000,Private,UNI,Formerly known as United Partners*,Warm,San Francisco,,,,,,,,500000,800000
Account.002,United Partners (Bay Area),Customer,333 Dolores St,San Francisco,CA,94110,United States,333 Dolores St,San Francisco,CA,94110,United States,(684) 555-0153,(684) 555-0182,A160U337,http://www.unitedpartnersbayarea.com,"75,042,966",Consulting,69000000,1700,Subsidiary,UNI,Market leader in its field.,Warm,San Francisco,,,,,,,,400000,200000
Account.003,United Partners (San Francisco),Customer,1 California St.,San Francisco,CA,94105,United States,1 California St.,San Francisco,CA,94105,United States,(791) 555-0153,(791) 555-0182,A642U204,http://unitedpartnersaz.net,"96,697,326",Consulting,53000000,1800,Subsidiary,UNI,Market leader in its field.,Warm,San Francisco,,,,,,,,300000,100000
Account.004,United Partners (East),Customer,2137 N Clarendon Blvd,Arlington,VA,22209,United States,2137 N Clarendon Blvd,Arlington,VA,22209,United States,(543) 555-0153,(543) 555-0182,A444U567,http://unitedpartnerswashingtondc.net,"59,287,727",Finance,39000000,1800,Subsidiary,UNI,Up and coming player in the space.,Warm,Arlington,,,,,,,,300000,200000
Account.005,United Partners (VA),Partner,1419 Commerce Rd,Richmond,VA,23224,United States,1419 Commerce Rd,Richmond,VA,23224,United States,(174) 555-0153,(174) 555-0182,A664U212,http://www.unitedpartnersva.com,"67,446,580",Government,74000000,1300,Subsidiary,UNI,An innovator in its area.,Warm,Richmond (city),,,,,,,,500000,300000
Account.006,Advanced Communications,Customer,PO Box 1019,West Warwick,RI,02893-0919,United States,178 San Jose Ave,San Jose,California,95125,United States,(401) 823-5200,(346) 555-0182,A533U291,www.advancedproductionscorp.com,"52,314,227",Technology,5000000,15,Private,ACM,An innovator in its area.,Hot,Santa Clara,,,,,,,,200000,900000
Account.007,Universal Services,Integrator,4191 Tamarus St,Clark,NV,89119,United States,4191 Tamarus St,Clark,NV,89119,United States,(274) 555-0153,(274) 555-0182,A253U352,http://unitedservices.com,"93,778,434",Insurance,460000000,1200,Private,UNI,Up and coming player in the space.,Warm,Clark,,,,,,,,500000,700000
Account.008,"Vand Enterprises, Inc.",Reseller,3418 Poplar Ave,Shelby,TN,38111,United States,3418 Poplar Ave,Shelby,TN,38111,United States,(674) 555-0153,(674) 555-0182,A325U538,http://vandenterprise.com,"30,709,664",Environmental,96000000,2000,Private,VAN,An innovator in its area.,Warm,Shelby,,,,,,,,800000,700000
Account.009,Allied Technologies,Customer,16909 SE Alder St,Multnomah,OR,97233,United States,16909 SE Alder St,Multnomah,OR,97233,United States,(494) 555-0153,(494) 555-0182,A547U200,http://www.alliedtechnologies.com,"14,744,251",Electronics,5600000000,2000,Private,ALL,Up and coming player in the space.,Warm,Multnomah,,,,,,,,300000,500000
Account.010,Sustainable Audio,Partner,240 E 3rd Ave,San Mateo,California,94401,United States,240 E 3rd Ave,San Mateo,California,94401,United States,(794) 555-0153,(794) 555-0182,A444U189,http://www.sustainableaudio.com,"34,753,414",Consulting,84000000,300,Private,ACM,Up and coming player in the space.,,Littleton,,,,,,,,300000,800000
Account.011,Bronze Partners,Partner,500 Market Street,San Francisco,CA,94105-5188,United States,500 Market Street,San Francisco,CA,94105-5188,United States,(720) 555-0153,(720) 555-0182,A642U202,www.bronzepartners.com,,Electronics,240000000,50,,,,,San Francisco,,,,,,,,,
Account.012,Towson Inc.,Prospect,1678 50th Ave,Alameda,CA,94601,USA,1678 50th Ave,Alameda,CA,94601,USA,(467) 555-0153,(467) 555-0182,A510U789,http://www.towsoninc.com,"97,272,783",Agriculture,7100000,1300,Private,TOW,Market leader in its field.,,Alameda,,,,,,,,300000,800000
Account.013,XPower,Prospect,124 8th Avenue,New York,NY,10011,USA,124 8th Avenue,New York,NY,10011,USA,(129) 555-0153,(129) 555-0182,A172U208,http://steampowercompany.net,"14,694,438",Energy,420000000,400,Private,STE,An innovator in its area.,,San Francisco,,,,,,,,800000,600000
Account.014,Permadyne,Customer,504 West 24th Street,Austin,TX,78705,USA,504 West 24th Street,Austin,TX,78705,USA,(422) 555-0153,(422) 555-0182,A633U565,www.permadyne.com,"62,327,459",Technology,850000000,1000,Private,NET,Up and coming player in the space.,,Austin,,,,,,,,600000,500000
Account.015,Tyconet,Customer,5815 Fairview Pl N,King,WA,98109,USA,5815 Fairview Pl N,King,WA,98109,USA,(546) 555-0153,(546) 555-0182,A775U764,http://tyconet.net,"67,793,788",Banking,370000000,1300,Private,TYC,Market leader in its field.,,King,,,,,,,,500000,900000
Account.016,Employnet,Customer,26 Boot Rd,Delaware,PA,19073,USA,26 Boot Rd,Delaware,PA,19073,USA,(794) 555-0153,(794) 555-0182,A759U502,http://www.employnet.com,"25,963,829",Biotechnology,3600000,100,Private,EMP,An innovator in its area.,,Delaware,,,,,,,,900000,200000
Account.017,Silver Partners,Partner,1 S. Dearborn,Chicago,Illinois,94105-5188,United States,1 S. Dearborn,Chicago,Illinois,94105-5188,United States,(720) 555-0153,(720) 555-0182,A642U199,www.silverpartners.com,,Electronics,240000000,100,,,,,Chicago,,,,,,,,,
Account.018,Displaytech,Prospect,1525 Park Pl,Kings,NY,11213,USA,1525 Park Pl,Kings,NY,11213,USA,(769) 555-0153,(769) 555-0182,A311U613,http://dfcinc.net,"36,584,987",Chemicals,3400000000,2100,Private,DFC,Up and coming player in the space.,,Kings,,,,,,,,500000,700000
Account.019,Haven Enterprises,Prospect,405 S Stricker St,Baltimore (city),MD,21223,USA,405 S Stricker St,Baltimore (city),MD,21223,USA,(590) 555-0153,(590) 555-0182,A652U431,http://www.havenenterprises.com,"44,675,624",Communications,1300000000,2400,Private,HAV,Market leader in its field.,,Baltimore (city),,,,,,,,300000,200000
Account.020,UlyssesNet,Customer,6805 15th Ave NW,King,WA,98117,USA,6805 15th Ave NW,King,WA,98117,USA,(765) 555-0153,(765) 555-0182,A231U539,http://ulyssesnet.net,"39,077,688",Engineering,480000000,1900,Private,ULY,An innovator in its area.,,King,,,,,,,,300000,200000
Account.021,Open Source Inc.,Customer,600 Congress Avenue,Austin,TX,78701,USA,600 Congress Avenue,Austin,TX,78701,USA,(187) 555-0153,(187) 555-0182,A176U129,http://www.opensourceinc.com,"71,701,013",Healthcare,200000000,1600,Private,OPE,Up and coming player in the space.,,Austin,,,,,,,,700000,300000
Account.022,Optos Inc.,Customer,5546 Geary Blvd,San Francisco,CA,94121,USA,5546 Geary Blvd,San Francisco,CA,94121,USA,(720) 555-0153,(720) 555-0182,A745U568,http://optosinc.net,"20,985,803",Electronics,550000000,900,Private,OPT,Market leader in its field.,,Denver,,,,,,,,1000000,100000
Account.023,Universal Containers,Prospect,3544 Wedo St,Clark,NV,89031,USA,3544 Wedo St,Clark,NV,89031,USA,(666) 555-0153,(666) 555-0182,A310U215,http://universalcontainers.net,"31,092,786",Entertainment,64000000,2200,Private,UNI,An innovator in its area.,,Clark,,,,,,,,100000,200000
Account.024,Southern Sound Co.,Customer,309 8th Ave,Santa Cruz,CA,95062,USA,309 8th Ave,Santa Cruz,CA,95062,USA,(482) 555-0153,(482) 555-0182,A437U158,http://www.southernresearchco.com,"67,763,011",Hospitality,1600000,1400,Private,SOU,Up and coming player in the space.,,Santa Cruz,,,,,,,,300000,300000
