"ID","EXTERNAL_ID__C","NAME","DESCRIPTION","ACCEPTANCELABEL","REJECTIONLABEL","ACTIONREFERENCE","CATEGORY__C","RANKING__C","TTH_ADDRESS__C","TTH_LOCATION__C","TTH_NATURE_OF_TRIP__C","TTH_TRAVEL_ACTIVITIES__C","TTH_TRAVEL_BUDGET__C","TTH_TRAVEL_GEOGRAPHY__C","TTH_TRAVEL_LEVEL__C","TTH_TRAVEL_LOCATION__C","TTH_TRAVEL_VIBE__C","TTH_TRAVEL_WEATHER__C","TTH_TRIP_STAGE__C","TTH_TRIP_SUB_STAGE__C","STATUS"
"0pr6g000000LoquAAC","tthRecommendation.001","Keiritas Yoga & Diving","Keiritas Yoga & Diving - Draw from a complementary mix of varying yoga styles.Yoga is most complementary to diving. The focus on breathing in yoga helps with developing a steady, calm state of mind both during the yoga practice & while SCUBA diving.","Sure, sounds like fun","No thanks","Book_Local_Attraction","Activities","","Ko Lipe, Thailand","Bangkok","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LoqvAAC","tthRecommendation.002","Madame Fu","Madame Fu - Mrs Pound-inspired restaurant with a fictional story behind its concept","Make a reservation for me","No thanks","Book_Restaurant","Restaurant","","Shop 03, 3/F, Tai Kwun 10 Hollywood Road Central Hong Kong","Bangkok","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LoqwAAC","tthRecommendation.003","Two Sea Tour","Two Sea Tour - James Bond Island tour by big boat only small groups. Phang Nga Bay, kayaking, relaxing, great fun for all.","Sure, sounds like fun","No thanks","Book_Local_Attraction","Activities","","Thalang District, Thailand","Bangkok","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LoqxAAC","tthRecommendation.004","Ser Wong Fun","Ser Wong Fun - One of the oldest and greatest Cantonese restaurants in the city","Make a reservation for me","No thanks","Book_Restaurant","Restaurant","","30 Cochrane St Central Hong Kong","Bangkok","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LoqyAAC","tthRecommendation.005","Ho Lee Fook","Ho Lee Fook - Daring Chinese fusion food that’s definitely not for purists","Make a reservation for me","No thanks","Book_Restaurant","Restaurant","","1 Elgin Street Central Hong Kong","Bangkok","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000LoqzAAC","tthRecommendation.006","Thalassa Tour","Thalassa Tour - Tour around 4 islands this Semi Private Tour so that you have an overview of the wonderful area of ​​Krabi. You will snorkel day and night, next to fluorescent plankton and visit the 4 islands of the Ao Nang area.","Sure, sounds like fun","No thanks","Book_Local_Attraction","Activities","","Ao Nang, Thailand","Bangkok","Personal","","","","Trip","","","","","","Item Created"
"0pr6g000000Lor0AAC","tthRecommendation.007","Current Deals","Check out our current travel deals","Show me more","No thanks","Current_Deals","","","","","Personal","","","","Trip","","","","PreTrip,PostTrip","No Future Booking","Item Created"
"0pr6g000000Lor1AAC","tthRecommendation.008","Food discount","Get a discount on food","I like to save $$$","No thanks","Food_Discount","","","","","Personal","","","","Trip","","","","OnTrip","Smooth Travels","Item Created"
"0pr6g000000Lor2AAC","tthRecommendation.009","Find Local Attractions","Looking for something to do one you get there?","Yes please","No thanks","Local_Attractions","","","","","Personal","","","","Trip","","","","PreTrip,OnTrip","Has Future Booking,Smooth Travels","Item Created"
"0pr6g000000Lor3AAC","tthRecommendation.010","Install Mobile App","Take us with you anywhere!","Tell me how","No thanks","Mobile_App_Installation","MobileApp","10","","","Personal","","","","Trip","","","","","","Item Created"
